iter	MAE
0	0.4519448249
1	0.4356366751
2	0.4195362216
3	0.404364705
4	0.389759202
5	0.3755351491
6	0.3628289697
7	0.3511413492
8	0.3403609765
9	0.3297684
10	0.3196863646
11	0.3098075315
12	0.3005907938
13	0.2923552542
14	0.2847615473
15	0.2778832975
16	0.2707420824
17	0.2643467355
18	0.2579895557
19	0.2522015879
20	0.2469434884
21	0.2421752342
22	0.2371864609
23	0.2328400483
24	0.2286136246
25	0.2249532587
26	0.2214563067
27	0.2180744033
28	0.2149475055
29	0.21180032
30	0.2088195095
31	0.2059570828
32	0.2034350031
33	0.2014101572
34	0.1991599709
35	0.1970936705
36	0.1951005463
37	0.1933247321
38	0.1916717009
39	0.1901423219
40	0.1886435667
41	0.1873317604
42	0.1861107324
43	0.1848611644
44	0.1837482377
45	0.1825429048
46	0.181510143
47	0.1805592569
48	0.1795306699
49	0.1786451841
50	0.17780317
51	0.1770025275
52	0.1762794293
53	0.1755088895
54	0.1747687248
55	0.1742419894
56	0.173594618
57	0.1730100058
58	0.1725049263
59	0.1718916264
60	0.1713396611
61	0.1706616083
62	0.1702889058
63	0.1698069903
64	0.1693680175
65	0.1689300709
66	0.168433402
67	0.168001234
68	0.167528065
69	0.1671597655
70	0.1668050515
71	0.1664280267
72	0.1661060059
73	0.1655936398
74	0.1653023702
75	0.1650706195
76	0.1647077211
77	0.1644790752
78	0.1641846643
79	0.1639499141
80	0.1637286385
81	0.1634516941
82	0.163203584
83	0.1628404472
84	0.1626447291
85	0.1623400492
86	0.1621785197
87	0.1618709298
88	0.1616050632
89	0.1613808494
90	0.1611284082
91	0.1608283552
92	0.1606297232
93	0.160446326
94	0.1603174922
95	0.1601159936
96	0.1599222981
97	0.1597628701
98	0.1594282625
99	0.1592682008
100	0.1591108346
101	0.1589931034
102	0.158855433
103	0.1585988745
104	0.1584210472
105	0.1582957828
106	0.1581375523
107	0.1579971936
108	0.1578766229
109	0.1577504689
110	0.1575984267
111	0.1574680731
112	0.1573120636
113	0.1571593073
114	0.1570120997
115	0.1568934926
116	0.1567602831
117	0.1566648975
118	0.1565687987
119	0.1564257774
120	0.1562130837
121	0.1559738376
122	0.1556054047
123	0.1554677057
124	0.1553725666
125	0.1553022196
126	0.1551809802
127	0.1550604284
128	0.1549544692
129	0.1547982054
130	0.1546485442
131	0.1545046602
132	0.1543092374
133	0.1542083208
134	0.1541244845
135	0.1540593163
136	0.1539307667
137	0.1538014584
138	0.1536983071
139	0.1536066655
140	0.1535158704
141	0.1534157619
142	0.1532963154
143	0.1532111656
144	0.1530009197
145	0.1528683595
146	0.1527648261
147	0.152645843
148	0.1525777623
149	0.1524752581
150	0.1524102105
151	0.1523274812
152	0.152232442
153	0.1521527674
154	0.1520465793
155	0.1519643453
156	0.1518855677
157	0.1517861989
158	0.1517126463
159	0.1516487176
160	0.1515562309
161	0.1514780217
162	0.1513862133
163	0.151308814
164	0.1512007552
165	0.1511421334
166	0.1510270597
167	0.150972658
168	0.1508564525
169	0.1507856847
170	0.1507069281
171	0.1506408112
172	0.1505998311
173	0.150537295
174	0.1504471588
175	0.1503677251
176	0.1502828051
177	0.1501887333
178	0.1500850067
179	0.1500310831
180	0.1499476438
181	0.1498753188
182	0.1498199826
183	0.1497387562
184	0.1496775853
185	0.1496134497
186	0.1495630609
187	0.1494812511
188	0.1494038269
189	0.1493280442
190	0.1492387345
191	0.1491468755
192	0.1490674064
193	0.1489999197
194	0.1489474279
195	0.1488678005
196	0.148774295
197	0.1487285162
198	0.1486704781
199	0.1486107815
200	0.1485480708
201	0.148467756
202	0.1483449566
203	0.1482863936
204	0.1481890068
205	0.1481287767
206	0.148057152
207	0.1480029082
208	0.1479252229
209	0.1478756641
210	0.1478089598
211	0.1476707001
212	0.1476205193
213	0.147529436
214	0.1474422328
215	0.1473466609
216	0.1472922359
217	0.1472475591
218	0.1471625028
219	0.146816507
220	0.1467010011
221	0.1466473827
222	0.1465918377
223	0.1462699335
224	0.146197328
225	0.1461364754
226	0.1460248123
227	0.1457891129
228	0.1457334651
229	0.1456479082
230	0.1455304856
231	0.1453806691
232	0.1453028181
233	0.1452130689
234	0.1451550525
235	0.1450858752
236	0.1450223983
237	0.1448153865
238	0.1447578642
239	0.1446445945
240	0.1445775737
241	0.1445365524
242	0.1444691371
243	0.1444283614
244	0.144369499
245	0.1442874013
246	0.1442388107
247	0.1441907209
248	0.1441167357
249	0.1440083279
250	0.1439612731
251	0.1439046052
252	0.1438472411
253	0.1437972897
254	0.1435963632
255	0.1435320432
256	0.1434662819
257	0.1433917125
258	0.1433070535
259	0.1432455355
260	0.1432016793
261	0.1430291374
262	0.1429316437
263	0.14287062
264	0.1428077053
265	0.1426936027
266	0.1426201304
267	0.142456622
268	0.1423382272
269	0.1422764163
270	0.1421671116
271	0.1421055351
272	0.1420307022
273	0.1419926421
274	0.1419321306
275	0.1418680104
276	0.1418034834
277	0.1417527295
278	0.1416909055
279	0.1416161177
280	0.1414740916
281	0.1414176542
282	0.1413405065
283	0.14128237
284	0.1411547739
285	0.141049725
286	0.1409844253
287	0.1408449063
288	0.140772729
289	0.140705276
290	0.1406687455
291	0.1405900205
292	0.1405194081
293	0.1404571265
294	0.1404096411
295	0.1403671056
296	0.1402998409
297	0.1402331709
298	0.1401715703
299	0.1400961079
300	0.1400106115
301	0.1399279914
302	0.139862659
303	0.1397964188
304	0.1397313822
305	0.1396481606
306	0.1395880879
307	0.1395423348
308	0.1394900474
309	0.1394323332
310	0.1393295428
311	0.1392661086
312	0.1392106626
313	0.1390818243
314	0.1389642429
315	0.1388835818
316	0.1387746429
317	0.1387125153
318	0.1385834995
319	0.1385149261
320	0.1384701596
321	0.1384141606
322	0.1383653861
323	0.1383146491
324	0.1382412595
325	0.1381330955
326	0.1380720098
327	0.1380085812
328	0.1379588518
329	0.137870757
330	0.1378176892
331	0.137765894
332	0.1377040386
333	0.1376410324
334	0.1376029682
335	0.1375585576
336	0.1374882152
337	0.1374195491
338	0.1373489406
339	0.1373125455
340	0.1372606434
341	0.1372310208
342	0.137178422
343	0.1371375147
344	0.1370617225
345	0.1370194174
346	0.1369450652
347	0.1369001725
348	0.1368505529
349	0.1368023865
350	0.1367410862
351	0.1367042882
